obs,time,deployment,average_wave_height,date_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,max_wave_height,mean_direction,mean_spectral_period,mean_spread,mean_wave_period,number_zero_crossings,peak_wave_period,port_timestamp,preferred_timestamp,serial_number,significant_period,significant_wave_height,time_string,wave_height_10,wave_height_hmo,wave_period_10,wave_period_tp5,average_wave_height_qc_executed,average_wave_height_qc_results,max_wave_height_qc_executed,max_wave_height_qc_results,significant_wave_height_qc_executed,significant_wave_height_qc_results,significant_period_qc_executed,significant_period_qc_results,wave_height_10_qc_executed,wave_height_10_qc_results,wave_period_10_qc_executed,wave_period_10_qc_results,mean_wave_period_qc_executed,mean_wave_period_qc_results,peak_wave_period_qc_executed,peak_wave_period_qc_results,wave_period_tp5_qc_executed,wave_period_tp5_qc_results,wave_height_hmo_qc_executed,wave_height_hmo_qc_results,mean_direction_qc_executed,mean_direction_qc_results,lat,lon
51,3758219596,8,2.039999962,empty,empty,3758223832,3758223832,3758217515,4.75,287.1000061,7.400000095,35.40000153,7.300000191,145,10,3758219596,port_timestamp,6311,9.5,3.319999933,empty,4.010000229,3.349999905,9.199999809,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
52,3758223195,8,2.230000019,empty,empty,3758232255,3758232255,3758221114,5.650000095,292.2000122,8,32.59999847,7.699999809,133,10,3758223195,port_timestamp,6311,9.600000381,3.470000029,empty,4.25,3.549999952,9.399999619,10.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
53,3758230396,8,2.25,empty,empty,3758238545,3758238546,3758228315,5.980000019,287.2999878,7.699999809,30.70000076,7.599999905,139,10,3758230396,port_timestamp,6311,9.199999809,3.519999981,empty,4.420000076,3.670000076,9.899999619,10.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
54,3758233995,8,2.5,empty,empty,3758238545,3758238546,3758231915,5.849999905,286.8999939,7.699999809,31.79999924,7.5,139,9.5,3758233995,port_timestamp,6311,8.800000191,3.869999886,empty,4.699999809,4.010000229,9.100000381,10.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
55,3758237594,8,2.50999999,empty,empty,3758244835,3758244836,3758235514,6.039999962,281.5,7.699999809,29.60000038,7.699999809,139,9.5,3758237594,port_timestamp,6311,9.199999809,3.890000105,empty,4.679999828,4.039999962,9.300000191,9.699999809,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
56,3758241195,8,2.380000114,empty,empty,3758244835,3758244836,3758239114,5.639999866,280,8.100000381,29.60000038,8,132,11.10000038,3758241195,port_timestamp,6311,9.899999619,3.809999943,empty,4.800000191,3.890000105,9.5,10.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
57,3758244794,8,2.380000114,empty,empty,3758253244,3758253244,3758242714,6.510000229,277.7000122,8,29.70000076,8,135,10.5,3758244794,port_timestamp,6311,9.699999809,3.710000038,empty,4.460000038,3.910000086,9.5,10.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
58,3758248393,8,2.359999895,empty,empty,3758253244,3758253244,3758246313,6.329999924,279.3999939,7.900000095,28.70000076,8.399999619,136,11.80000019,3758248393,port_timestamp,6311,10.30000019,3.99000001,empty,5.090000153,4.130000114,10.19999981,11.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
59,3758251992,8,2.269999981,empty,empty,3758259548,3758259549,3758249912,5.150000095,278.2999878,8.300000191,30.89999962,8.199999809,128,10.5,3758251992,port_timestamp,6311,10.69999981,3.720000029,empty,4.630000114,3.819999933,10,11.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
60,3758255597,8,2.339999914,empty,empty,3758259548,3758259549,3758253514,5.420000076,279.8999939,8.800000191,30.39999962,8.5,121,11.80000019,3758255597,port_timestamp,6311,10.39999962,3.50999999,empty,4.239999771,3.75,10.10000038,11.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
61,3758259195,8,2.609999895,empty,empty,3758267954,3758267955,3758257114,8.430000305,280.1000061,9.600000381,28,8.899999619,112,12.5,3758259195,port_timestamp,6311,11,3.970000029,empty,5.079999924,4.090000153,11.5,11.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
62,3758262793,8,2.069999933,empty,empty,3758267955,3758267955,3758260713,5.409999847,285.8999939,8.699999809,28.70000076,8.600000381,123,11.80000019,3758262793,port_timestamp,6311,10.89999962,3.400000095,empty,4.320000172,3.49000001,10.69999981,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
63,3758266396,8,2.460000038,empty,empty,3758274263,3758274263,3758264314,5.900000095,284.2999878,9.399999619,26.39999962,9,113,12.5,3758266396,port_timestamp,6311,11.5,3.789999962,empty,4.659999847,3.950000048,11.39999962,12.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
64,3758269996,8,2.630000114,empty,empty,3758274263,3758274263,3758267914,6.079999924,286.2999878,9.5,22.29999924,9.199999809,113,12.5,3758269996,port_timestamp,6311,11.60000038,4.079999924,empty,5.079999924,4.25,11.89999962,12.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
65,3758273594,8,2.029999971,empty,empty,3758282657,3758282657,3758271513,5.789999962,281.7000122,8.800000191,28.60000038,8.399999619,122,11.80000019,3758273594,port_timestamp,6311,10.69999981,3.180000067,empty,3.940000057,3.269999981,11.30000019,11.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
66,3758277195,8,2.359999895,empty,empty,3758282657,3758282657,3758275114,6.639999866,280.6000061,9.399999619,24.29999924,9.100000381,114,12.5,3758277195,port_timestamp,6311,11.69999981,3.75,empty,4.670000076,3.829999924,11.39999962,12.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
67,3758280795,8,2.430000067,empty,empty,3758295262,3758295262,3758278714,5.360000134,285.1000061,9.600000381,25.20000076,8.899999619,112,11.10000038,3758280795,port_timestamp,6311,11.19999981,3.599999905,empty,4.440000057,3.720000029,10.5,11.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
68,3758284394,8,2.210000038,empty,empty,3758295262,3758295262,3758282313,5.739999771,282.3999939,9.100000381,27.89999962,8.800000191,117,13.30000019,3758284394,port_timestamp,6311,11.39999962,3.470000029,empty,4.440000057,3.630000114,10.89999962,12.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
69,3758287985,8,2.269999981,empty,empty,3758295262,3758295262,3758285912,5.099999905,282.3999939,9.199999809,28.29999924,8.699999809,117,12.5,3758287985,port_timestamp,6311,11,3.400000095,empty,4.230000019,3.579999924,11.19999981,12.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
